"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_to_num                                       ","procname            ","Date_to_num","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_to_num                                       ","returnvalue         ","numeric (packed)  (8,0)","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_to_num                                       ","returnvalueshort    ","packed","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_to_num                                       ","parmdef1            ","date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_to_num                                       ","parmdefshort1       ","date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_to_num                                       ","parmkeywords1       ","value","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_jjmmssaa                                     ","procname            ","Date_jjmmssaa","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_jjmmssaa                                     ","returnvalue         ","numeric (packed)  (8,0)","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_jjmmssaa                                     ","returnvalueshort    ","packed","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_jjmmssaa                                     ","parmdef1            ","date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_jjmmssaa                                     ","parmdefshort1       ","date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Date_jjmmssaa                                     ","parmkeywords1       ","value","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Num_to_Date                                       ","procname            ","Num_to_Date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Num_to_Date                                       ","returnvalue         ","date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Num_to_Date                                       ","returnvalueshort    ","date","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Num_to_Date                                       ","parmdef1            ","numeric (packed)  (8,0)","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Num_to_Date                                       ","parmdefshort1       ","packed","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02B","procedure           ","Num_to_Date                                       ","parmkeywords1       ","value","2013-08-07-14.12.01.767000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_to_num                                       ","procname            ","Date_to_num","2013-08-07-14.12.02.050000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_to_num                                       ","returnvalue         ","numeric (packed)  (8,0)","2013-08-07-14.12.02.050000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_to_num                                       ","returnvalueshort    ","packed","2013-08-07-14.12.02.050000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_to_num                                       ","parmdef1            ","date","2013-08-07-14.12.02.050000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_to_num                                       ","parmdefshort1       ","date","2013-08-07-14.12.02.050000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_to_num                                       ","parmkeywords1       ","value","2013-08-07-14.12.02.050000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMR02C","procedure           ","Date_jjmmssaa                                     ","procname            ","Date_jjmmssaa","2013-08-07-14.12.02.050000","DEVBOUSS"
