"OLSRCP","QRPGLESRC","ACCEDT10RI","program             ","ACCEDT10RI                                        ","copyname1           ","olsrcp/QCOPYSRC,SRPARM","2013-08-07-14.11.56.932000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACCEDT10RI","program             ","ACCEDT10RI                                        ","copypath1           ","OLSRCP/QCOPYSRC,SRPARM","2013-08-07-14.11.56.932000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACCEDT10RI","program             ","ACCEDT10RI                                        ","copydesc1           ","Sous routine recherche parametre","2013-08-07-14.11.56.932000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACCEDT11RI","program             ","ACCEDT11RI                                        ","copyname1           ","olsrcp/QCOPYSRC,SRPARM","2013-08-07-14.11.57.073000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACCEDT11RI","program             ","ACCEDT11RI                                        ","copypath1           ","OLSRCP/QCOPYSRC,SRPARM","2013-08-07-14.11.57.073000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACCEDT11RI","program             ","ACCEDT11RI                                        ","copydesc1           ","Sous routine recherche parametre","2013-08-07-14.11.57.073000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTN","program             ","ACREDTN                                           ","copyname1           ","qcopysrc,driver_h","2013-08-07-14.11.58.099000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTN","program             ","ACREDTN                                           ","copypath1           ","OLSRCP/QCOPYSRC,DRIVER_H","2013-08-07-14.11.58.099000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTN","program             ","ACREDTN                                           ","copydesc1           ","Driver tools services - Module Copy book","2013-08-07-14.11.58.099000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTN","program             ","ACREDTN                                           ","copyname2           ","qcopysrc,object_h","2013-08-07-14.11.58.099000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTN","program             ","ACREDTN                                           ","copypath2           ","OLSRCP/QCOPYSRC,OBJECT_H","2013-08-07-14.11.58.099000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTN","program             ","ACREDTN                                           ","copydesc2           ","Object tools services - Module Copy book","2013-08-07-14.11.58.099000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTS1","program             ","ACREDTS1                                          ","copyname1           ","qcopysrc,object_h","2013-08-07-14.11.58.265000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTS1","program             ","ACREDTS1                                          ","copypath1           ","OLSRCP/QCOPYSRC,OBJECT_H","2013-08-07-14.11.58.265000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACREDTS1","program             ","ACREDTS1                                          ","copydesc1           ","Object tools services - Module Copy book","2013-08-07-14.11.58.265000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copyname1           ","qcopysrc,driver_h","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copypath1           ","OLSRCP/QCOPYSRC,DRIVER_H","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copydesc1           ","Driver tools services - Module Copy book","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copyname2           ","qcopysrc,object_h","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copypath2           ","OLSRCP/QCOPYSRC,OBJECT_H","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copydesc2           ","Object tools services - Module Copy book","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copyname3           ","QCOPYSRC,DSLPMA","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copypath3           ","OLSRCP/QCOPYSRC,DSLPMA","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA001","program             ","ACTA001                                           ","copydesc3           ","envoi de mail LP","2013-08-07-14.11.58.618000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA01RB","program             ","ACTA01RB                                          ","copyname1           ","QCOPYSRC,DSACCF","2013-08-07-14.11.58.803000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA01RB","program             ","ACTA01RB                                          ","copypath1           ","OLSRCP/QCOPYSRC,DSACCF","2013-08-07-14.11.58.803000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA01RB","program             ","ACTA01RB                                          ","copydesc1           ","Compte Fournisseur ACTA","2013-08-07-14.11.58.803000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA01RB","program             ","ACTA01RB                                          ","copyname2           ","QCOPYSRC,DSACMA","2013-08-07-14.11.58.803000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA01RB","program             ","ACTA01RB                                          ","copypath2           ","OLSRCP/QCOPYSRC,DSACMA","2013-08-07-14.11.58.803000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTA01RB","program             ","ACTA01RB                                          ","copydesc2           ","envoi de mail pour fact ACTA","2013-08-07-14.11.58.803000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL01RB","program             ","ACTEL01RB                                         ","copyname1           ","qcopysrc,object_h","2013-08-07-14.11.58.998000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL01RB","program             ","ACTEL01RB                                         ","copypath1           ","OLSRCP/QCOPYSRC,OBJECT_H","2013-08-07-14.11.58.998000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL01RB","program             ","ACTEL01RB                                         ","copydesc1           ","Object tools services - Module Copy book","2013-08-07-14.11.58.998000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL01RB","program             ","ACTEL01RB                                         ","copyname2           ","qcopysrc,driver_h","2013-08-07-14.11.58.998000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL01RB","program             ","ACTEL01RB                                         ","copypath2           ","OLSRCP/QCOPYSRC,DRIVER_H","2013-08-07-14.11.58.998000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL01RB","program             ","ACTEL01RB                                         ","copydesc2           ","Driver tools services - Module Copy book","2013-08-07-14.11.58.998000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL02RB","program             ","ACTEL02RB                                         ","copyname1           ","QCOPYSRC,DSACTL","2013-08-07-14.11.59.190000","DEVBOUSS"
